Kabupaten/Kota,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja
Cilacap,747329,54708,28006,82714,830043,90.03,81205,331389,76859,489453,1319496,62.91
Banyumas,813592,35294,17096,52390,865982,93.95,89693,306325,68806,464824,1330806,65.07
Purbalingga,473232,20973,9477,30450,503682,93.95,40768,141710,38310,220788,724470,69.52
Banjarnegara,470460,21381,7900,29281,499741,94.14,35699,143811,37070,216580,716321,69.76
Kebumen,582719,25201,12207,37408,620127,93.97,57155,183904,53987,295046,915173,67.76
Purworejo,400401,9424,5474,14898,415299,96.41,33966,89716,27644,151326,566625,73.29
Wonosobo,405526,17140,5387,22527,428053,94.74,34888,103230,38677,176795,604848,70.77
Magelang,735613,27682,11294,38976,774589,94.97,57606,147513,42431,247550,1022139,75.78
Boyolali,559932,20183,9826,30009,589941,94.91,42125,119191,27136,188452,778393,75.79
Klaten,596661,19035,15549,34584,631245,94.52,54161,189664,68594,312419,943664,66.89
Sukoharjo,476867,7769,8622,16391,493258,96.68,64946,114967,44000,223913,717171,68.78
Wonogiri,559093,9359,4573,13932,573025,97.57,34325,134314,42329,210968,783993,73.09
Karanganyar,487270,20388,10129,30517,517787,94.11,49258,102214,38602,190074,707861,73.15
Sragen,483592,12467,11693,24160,507752,95.24,37429,120736,41835,200000,707752,71.74
Grobogan,748718,17142,17175,34317,783035,95.62,61629,176493,53200,291322,1074357,72.88
Blora,467018,15393,3114,18507,485525,96.19,35549,136394,30853,202796,688321,70.54
Rembang,348727,8236,5057,13293,362020,96.33,29729,96016,24534,150279,512299,70.67
Pati,662492,19100,12835,31935,694427,95.4,70608,181816,59645,312069,1006496,68.99
Kudus,501443,8812,10839,19651,521094,96.23,42090,100411,33295,175796,696890,74.77
Jepara,658208,14130,14946,29076,687284,95.77,71354,168386,61214,300954,988238,69.55
Demak,563708,15403,16000,31403,595111,94.72,74533,184197,44732,303462,898573,66.23
Semarang,598413,22908,8719,31627,630040,94.98,50749,127193,42265,220207,850247,74.1
Temanggung,443009,6931,4987,11918,454927,97.38,37375,89998,32373,159746,614673,74.01
Kendal,493732,26709,13589,40298,534030,92.45,45830,117954,65880,229664,763694,69.93
Batang,402320,18040,10330,28370,430690,93.41,40791,100200,31505,172496,603186,71.4
Pekalongan,465460,14093,6695,20788,486248,95.72,41174,113892,39121,194187,680435,71.46
Pemalang,601815,29383,13905,43288,645103,93.29,49281,219448,65076,333805,978908,65.9
Tegal,644499,51532,19814,71346,715845,90.03,73076,223210,68543,364829,1080674,66.24
Brebes,793289,58947,27022,85969,879258,90.22,96022,324373,74863,495258,1374516,63.97
Kota Magelang,60317,3610,2159,5769,66086,91.27,9294,16877,6273,32444,98530,67.07
Kota Surakarta,260025,15376,6777,22153,282178,92.15,42986,75897,20776,139659,421837,66.89
Kota Salatiga,103979,5276,2869,8145,112124,92.74,13404,24188,9641,47233,159357,70.36
Kota Semarang,936076,62973,35745,98718,1034794,90.46,165797,222279,67872,455948,1490742,69.41
Kota Pekalongan,168725,8511,3974,12485,181210,93.11,14973,28788,14200,57961,239171,75.77
Kota Tegal,121510,7717,3213,10930,132440,91.75,16172,36261,9185,61618,194058,68.25
Jawa Tengah,17835770,731226,396997,1128223,18963993,94.05,1795640,4992955,1501326,8289921,27253914,69.58
,,,,,,,,,,,,
Keterangan,,,,,,,,,,,,
<sup>1 </sup>1. Mencari pekerjaan/<i>Looking for work</i> 2. Mempersiapkan usaha/<i>Establishing a new business/firm</i> 3. Merasa tidak mungkin mendapat pekerjaan/<i>Feeling hopeless in looking for work (discouraged job seekers)</i> 4. Sudah punya pekerjaan tetapi belum mulai bekerja/<i>Having job already but not starting to work yet</i>,,,,,,,,,,,,
